# File generated by 'createIsoFiles.py' on Fri Nov 24 15:30:43 2017.
# Content of file: isochrone table with t = 3.76Gyr, [Fe/H] = -0.65.
# Isochrone tables in this file have been created by
# on the basis of PARSEC isochrones.
# NOTE: templates with M < 0.1 Msun have been.
# removed (considered below LMCO).
# -----------------------------------------------------------------
# FeH	log(age/yr)	M_ini	logL/Lo	logTeff	logg	 B	 V	 stage
-0.65	9.575	0.1000000015	-3.083	3.448	5.2651	18.023	16.108	1
-0.65	9.575	0.1199999973	-2.8098	3.4811	5.2032	16.291	14.496	1
-0.65	9.575	0.1400000006	-2.6245	3.5001	5.1611	15.308	13.58	1
-0.65	9.575	0.1599999964	-2.483	3.5129	5.1287	14.65	12.973	1
-0.65	9.575	0.200000003	-2.2682	3.53	5.0793	13.751	12.148	1
-0.65	9.575	0.2225966156	-2.1726	3.5363	5.0554	13.394	11.822	1
-0.65	9.575	0.25	-2.0686	3.5432	5.0293	13.012	11.471	1
-0.65	9.575	0.338340342	-1.7934	3.5585	4.9467	12.076	10.602	1
-0.65	9.575	0.388340354	-1.6417	3.569	4.897	11.543	10.111	1
-0.65	9.575	0.4383403659	-1.4796	3.5825	4.8413	10.959	9.581	1
-0.65	9.575	0.488340348	-1.3029	3.6011	4.7858	10.287	8.989	1
-0.65	9.575	0.5215809941	-1.1752	3.6184	4.7559	9.759	8.546	1
-0.65	9.575	0.5383403301	-1.1141	3.6266	4.7417	9.508	8.335	1
-0.65	9.575	0.5732290149	-0.9837	3.6477	4.7229	8.913	7.855	1
-0.65	9.575	0.588340342	-0.9295	3.6565	4.715	8.662	7.653	1
-0.65	9.575	0.638340354	-0.754	3.6862	4.694	7.892	7.021	1
-0.65	9.575	0.6662930846	-0.6606	3.7016	4.6807	7.521	6.709	1
-0.65	9.575	0.6883403063	-0.5889	3.7134	4.6703	7.25	6.481	1
-0.65	9.575	0.6988247037	-0.5555	3.7188	4.6651	7.126	6.378	1
-0.65	9.575	0.7311661243	-0.4544	3.7351	4.6488	6.767	6.076	1
-0.65	9.575	0.7383403778	-0.4323	3.7386	4.6451	6.691	6.012	1
-0.65	9.575	0.7590295672	-0.3698	3.7476	4.6305	6.484	5.837	1
-0.65	9.575	0.7883403301	-0.2829	3.7599	4.609	6.2	5.598	1
-0.65	9.575	0.8128933907	-0.2112	3.7686	4.5855	5.978	5.407	1
-0.65	9.575	0.8383404016	-0.1376	3.7772	4.5598	5.754	5.214	1
-0.65	9.575	0.851885736	-0.0989	3.7812	4.5441	5.639	5.113	1
-0.65	9.575	0.881200552	-0.0155	3.7895	4.5086	5.39	4.896	1
-0.65	9.575	0.888340354	0.0048	3.7915	4.4996	5.331	4.843	1
-0.65	9.575	0.9082491398	0.0612	3.7966	4.4733	5.166	4.698	1
-0.65	9.575	0.9357478619	0.1394	3.8034	4.4351	4.941	4.497	1
-0.65	9.575	0.9383403063	0.1467	3.804	4.4315	4.92	4.478	1
-0.65	9.575	0.9635350704	0.2187	3.8102	4.3956	4.714	4.293	1
-0.65	9.575	0.9858209491	0.2832	3.8154	4.3619	4.532	4.128	1
-0.65	9.575	0.9883403778	0.2905	3.816	4.358	4.512	4.109	1
-0.65	9.575	0.9927389026	0.3031	3.817	4.3515	4.476	4.077	1
-0.65	9.575	1.0123417377	0.3604	3.8215	4.3208	4.314	3.93	1
-0.65	9.575	1.0299748182	0.4122	3.8254	4.2918	4.17	3.797	1
-0.65	9.575	1.0383403301	0.4367	3.827	4.2774	4.101	3.734	1
-0.65	9.575	1.0459727049	0.4587	3.8286	4.265	4.04	3.677	1
-0.65	9.575	1.061934948	0.505	3.8316	4.2372	3.912	3.558	1
-0.65	9.575	1.0761467218	0.5475	3.8339	4.2098	3.796	3.449	1
-0.65	9.575	1.0877040625	0.5839	3.8357	4.1852	3.697	3.356	1
-0.65	9.575	1.0883404016	0.5859	3.8358	4.1837	3.691	3.351	1
-0.65	9.575	1.0917270184	0.5965	3.8363	4.1764	3.663	3.324	1
