# File generated by 'createIsoFiles.py' on Fri Nov 24 15:30:51 2017.
# Content of file: isochrone table with t = 7.5Gyr, [Fe/H] = 0.15.
# Isochrone tables in this file have been created by
# on the basis of PARSEC isochrones.
# NOTE: templates with M < 0.1 Msun have been.
# removed (considered below LMCO).
# -----------------------------------------------------------------
# FeH	log(age/yr)	M_ini	logL/Lo	logTeff	logg	 B	 V	 stage
0.15	9.875	0.1035007164	-3.2264	3.3811	5.1558	20.816	18.888	1
0.15	9.875	0.1235007122	-2.9886	3.4103	5.1116	19.039	17.241	1
0.15	9.875	0.1435007155	-2.8097	3.4308	5.0796	17.772	16.061	1
0.15	9.875	0.1670014262	-2.6509	3.4469	5.0511	16.815	15.177	1
0.15	9.875	0.2087517977	-2.4356	3.4652	5.006	15.693	14.114	1
0.15	9.875	0.2587517798	-2.2335	3.4808	4.9595	14.755	13.224	1
0.15	9.875	0.3087517917	-2.0675	3.4926	4.9175	14.051	12.543	1
0.15	9.875	0.349642247	-1.9446	3.5003	4.8793	13.574	12.092	1
0.15	9.875	0.3587518036	-1.9189	3.5019	4.8711	13.477	12.0	1
0.15	9.875	0.4499999881	-1.655	3.5237	4.7929	12.414	10.985	1
0.15	9.875	0.4849444032	-1.5483	3.5336	4.7584	11.99	10.584	1
0.15	9.875	0.5	-1.5046	3.5377	4.7444	11.82	10.422	1
0.15	9.875	0.5441991091	-1.3581	3.5534	4.6972	11.234	9.858	1
0.15	9.875	0.5500000119	-1.3396	3.5553	4.6913	11.161	9.786	1
0.15	9.875	0.576084733	-1.2515	3.5675	4.6722	10.779	9.406	1
0.15	9.875	0.6000000238	-1.1744	3.5782	4.6555	10.452	9.085	1
0.15	9.875	0.6499999762	-1.005	3.6066	4.6342	9.689	8.362	1
0.15	9.875	0.6999999881	-0.839	3.6364	4.6197	8.901	7.665	1
0.15	9.875	0.75	-0.6733	3.6684	4.6121	8.062	6.969	1
0.15	9.875	0.7645730972	-0.6297	3.6748	4.6023	7.874	6.811	1
0.15	9.875	0.7966201901	-0.5348	3.6886	4.5804	7.477	6.478	1
0.15	9.875	0.8000000119	-0.5248	3.69	4.578	7.437	6.444	1
0.15	9.875	0.8123372793	-0.4882	3.6953	4.5689	7.29	6.321	1
0.15	9.875	0.838412106	-0.4111	3.706	4.5487	6.992	6.069	1
0.15	9.875	0.8500000238	-0.3771	3.7107	4.5394	6.863	5.96	1
0.15	9.875	0.8527837992	-0.3689	3.7118	4.5369	6.833	5.935	1
0.15	9.875	0.8771499395	-0.2968	3.7211	4.514	6.574	5.712	1
0.15	9.875	0.8992285132	-0.2316	3.7291	4.4918	6.347	5.517	1
