# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:27 2017.
# Content of file: isochrone tables with [Fe/H] = 0.4.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 13.34 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
0.4	10.125	0.1	3.43350418563	5.218	-3.09909090909	16.3260545455	14.423	1	1
0.4	10.125	0.11	3.44819088887	5.19309090909	-2.97	15.6274181818	13.8094363636	1	1
0.4	10.125	0.13	3.46670352611	5.146	-2.778	14.7133636364	13.0207090909	1	1
0.4	10.125	0.15	3.48116432857	5.106	-2.628	14.0061818181	12.4215818182	1	1
0.4	10.125	0.183285	3.4976	5.0445	-2.3998	13.031	11.8846	2	1
0.4	10.125	0.197807	3.4999	5.0233	-2.3365	12.8422	11.705	2	1
0.4	10.125	0.212069	3.5018	5.0035	-2.2786	12.6716	11.5424	2	1
0.4	10.125	0.226587	3.5038	4.9852	-2.2238	12.5101	11.3886	2	1
0.4	10.125	0.241975	3.5058	4.9678	-2.1696	12.3504	11.2366	2	1
0.4	10.125	0.260655	3.5082	4.9484	-2.1085	12.1701	11.0652	2	2
0.4	10.125	0.282467	3.5109	4.9286	-2.0428	11.9759	10.8807	2	2
0.4	10.125	0.299539	3.513	4.916	-1.9963	11.8374	10.7494	2	2
0.4	10.125	0.30866	3.5139	4.9112	-1.9748	11.7739	10.6892	2	2
0.4	10.125	0.314487	3.5147	4.9096	-1.9618	11.732	10.6503	2	2
0.4	10.125	0.318409	3.5152	4.9067	-1.9517	11.7023	10.622	2	2
0.4	10.125	0.321037	3.5155	4.907	-1.9471	11.6868	10.6077	2	2
0.4	10.125	0.323242	3.5158	4.9043	-1.9403	11.6676	10.5895	2	2
0.4	10.125	0.325075	3.5161	4.9042	-1.9367	11.6554	10.5782	2	2
0.4	10.125	0.327429	3.5164	4.9018	-1.93	11.6359	10.5596	2	2
0.4	10.125	0.330532	3.5167	4.899	-1.9216	11.6111	10.5362	2	2
0.4	10.125	0.335087	3.5172	4.8956	-1.9102	11.5778	10.5045	2	2
0.4	10.125	0.34237	3.518	4.8906	-1.893	11.5271	10.4564	2	2
0.4	10.125	0.368397	3.5214	4.8706	-1.8279	11.3333	10.2736	2	2
0.4	10.125	0.425481	3.531	4.8219	-1.678	10.8754	9.8451	2	2
0.4	10.125	0.461331	3.5386	4.7918	-1.582	10.5745	9.5658	2	2
0.4	10.125	0.482111	3.5439	4.774	-1.5241	10.389	9.394	2	2
0.4	10.125	0.498218	3.5483	4.76	-1.4779	10.2388	9.2546	2	2
0.4	10.125	0.512402	3.5526	4.7474	-1.4362	10.1013	9.1273	2	2
0.4	10.125	0.526116	3.5569	4.7352	-1.3953	9.9634	8.9999	2	2
0.4	10.125	0.539652	3.5614	4.7232	-1.3543	9.822	8.8694	2	2
0.4	10.125	0.552995	3.566	4.7113	-1.3133	9.6768	8.7358	2	2
0.4	10.125	0.566079	3.5708	4.6999	-1.2726	9.5273	8.5987	2	2
0.4	10.125	0.578811	3.5756	4.6889	-1.2324	9.374	8.4582	2	2
0.4	10.125	0.591626	3.5807	4.6781	-1.1918	9.2112	8.3092	2	2
0.4	10.125	0.60438	3.5858	4.6673	-1.1515	9.0424	8.1543	2	2
0.4	10.125	0.61703	3.5908	4.6565	-1.1117	8.8743	8.0001	2	3
0.4	10.125	0.629649	3.5958	4.6461	-1.0724	8.7099	7.849	2	3
0.4	10.125	0.64217	3.6008	4.6358	-1.0334	8.5447	7.6968	2	3
0.4	10.125	0.654021	3.606	4.6267	-0.9959	8.3801	7.5446	2	3
0.4	10.125	0.660811	3.6091	4.6218	-0.9738	8.2812	7.4532	2	3
0.4	10.125	0.667301	3.6124	4.6173	-0.9524	8.1844	7.3637	2	3
0.4	10.125	0.673626	3.6155	4.6132	-0.9311	8.089	7.2756	2	3
0.4	10.125	0.679885	3.6188	4.6092	-0.9101	7.9953	7.1889	2	3
0.4	10.125	0.686172	3.6222	4.6052	-0.8889	7.9014	7.1022	2	3
0.4	10.125	0.692569	3.6254	4.6011	-0.8674	7.8073	7.0156	2	3
0.4	10.125	0.699149	3.6289	4.5969	-0.8453	7.7123	6.9285	2	3
