# File generated by 'stitchIsochrones.py' on Thu Sep 28 15:40:05 2017.
# Content of file: isochrone tables with [Fe/H] = -1.35.
# Isochrone tables in this file have been created by
# stitching a number of different isochrones:
# 1). Lyon isochrones for M < 0.17 Msun.
# 2). Darthmouth isochrones for M >= 0.17 Msun.
# 3). Padova isochrones for stars above the tip
#     of the Red Giant Branch.
# ---------------------------------------------------
# Isochrone table age = 6.31 Gyr
# FeH	log_age	mass	log_Teff	log_g	logL	 Johnson_V	Johnson_R	 isoID	 stage
-1.35	9.8	0.1	3.50659114005	5.34204545454	-2.92727272728	13.846	12.4150681818	1	1
-1.35	9.8	0.11	3.52587293817	5.2925	-2.76477272727	13.1607954546	11.8783636364	1	1
-1.35	9.8	0.13	3.54748548115	5.2325	-2.5475	12.3594545455	11.191909091	1	1
-1.35	9.8	0.15	3.56087330035	5.19227272727	-2.38977272727	11.8320227273	10.7144318182	1	1
-1.35	9.8	0.183499	3.5637	5.133	-2.2237	11.4644	10.53	2	1
-1.35	9.8	0.203862	3.5695	5.1041	-2.1255	11.1682	10.2509	2	1
-1.35	9.8	0.22073	3.5734	5.0813	-2.0526	10.9523	10.0469	2	1
-1.35	9.8	0.236531	3.5765	5.0617	-1.9901	10.7695	9.8745	2	1
-1.35	9.8	0.252759	3.5795	5.0437	-1.9315	10.5986	9.7133	2	2
-1.35	9.8	0.270241	3.5824	5.0265	-1.8739	10.431	9.5556	2	2
-1.35	9.8	0.28574	3.5848	5.0122	-1.826	10.2925	9.4253	2	2
-1.35	9.8	0.297778	3.5865	5.0008	-1.7896	10.1876	9.3267	2	2
-1.35	9.8	0.3061	3.5877	4.9926	-1.7648	10.1163	9.2596	2	2
-1.35	9.8	0.31186	3.5884	4.9869	-1.748	10.0683	9.2145	2	2
-1.35	9.8	0.316709	3.5891	4.9822	-1.7341	10.0288	9.1774	2	2
-1.35	9.8	0.320708	3.5896	4.9785	-1.7229	9.997	9.1473	2	2
-1.35	9.8	0.324494	3.5901	4.9754	-1.7128	9.9678	9.12	2	2
-1.35	9.8	0.328849	3.5906	4.9721	-1.7015	9.9352	9.0895	2	2
-1.35	9.8	0.334554	3.5914	4.969	-1.6879	9.8958	9.0528	2	2
